Region,Latitude,Longitude,Green_Space_Area_sqm,AQI,PM2.5,PM10,Rainfall_mm,Season,Transit_Stops,CO2_Emission_Private_g_per_km,CO2_Emission_Public_g_per_km,Travel_Time_mins,Road_Quality_Index,Traffic_Congestion_Index,Average_Vehicle_Speed_kmph
Porur,12.950056482489018,80.11441458634587,4479,73,40.47774207787798,139.47244623001447,357,Rainy,17,272.2050849259666,152.5079463090956,59,76,1,34.65802758501562
Adyar,12.911801630662898,80.17467442240199,4897,113,44.69178825269097,51.12197529422296,388,Winter,17,284.16750844596487,110.58077012735765,48,60,5,57.68530844490432
Purasaiwakkam,13.076158453713848,80.10307007517746,2548,130,63.014111885313135,113.14302430958573,269,Winter,16,194.9880457651799,95.19286448263797,40,57,9,35.525226466280245
Adyar,12.805189838192106,80.27580276816539,4142,135,71.89575276590605,89.61023210840528,425,Rainy,15,447.6717754935635,198.77682071552476,30,98,4,56.25214712669245
Tambaram,12.812363781544944,80.24752425290748,4158,143,79.0772990636614,124.5201341716263,180,Winter,10,118.62748020387403,132.57099370912886,42,88,7,45.45766098296849
Kolathur,12.820933753989676,80.12599722567361,2716,104,37.53076051464514,105.38314866568938,440,Winter,17,356.26100266760983,177.67838855591424,57,89,4,33.28422662927883
Medavakkam,12.845173235311705,80.18815172906285,4621,114,51.03291340056943,104.4793066067678,103,Winter,19,126.90597457119064,160.71015733557255,16,94,6,26.663213996491567
Perambur,13.098941655569265,80.12430748086852,4154,97,97.90245225091628,63.45443076843931,90,Winter,16,346.5011256316803,106.15503597126437,45,57,2,33.02594195546533
Egmore,13.156738861551295,80.21587188670857,4722,81,91.05090249397134,80.74346422156661,261,Winter,9,193.31403432787647,158.76900031011564,40,68,1,26.63110721304427
Teynampet,13.182623470902048,80.27961550547637,4679,149,96.33830731625433,88.35881870716011,272,Rainy,8,133.9308193377734,90.53021697082019,44,89,3,27.256900938776877
Poonamallee,13.182501291625893,80.29360527746219,3762,62,54.56659010380634,100.40098800410053,71,Summer,6,499.4838200518204,109.31379146854476,26,69,9,23.490811813268103
Mogappair,12.991228635990387,80.19381913957811,4283,86,73.19369125443845,116.0059391965117,115,Summer,9,247.17488095967175,79.4508562196791,47,59,5,48.20192826001919
T. Nagar,13.16813069593409,80.26576658656795,1859,99,91.51778845045187,96.69295038798421,240,Summer,12,255.3413640311652,91.16087703663355,53,92,1,47.08043510155011
Kolathur,12.88184684975886,80.25365823218496,4904,79,39.2536137955373,113.94006364433528,66,Summer,10,119.43944820984117,83.80137614837835,16,98,9,42.63034062931284
Thoraipakkam,13.075234943216778,80.10248174575959,3340,85,33.94009959946695,126.24250548818907,187,Rainy,5,187.28000834991772,114.0847109191199,46,99,8,56.51370869253977
Saidapet,12.873828537963552,80.13440363724482,2838,70,72.84793702138685,117.7415515571611,121,Winter,18,312.5964236161061,77.87416109659259,43,90,3,49.09533028397596
T. Nagar,13.027869010495628,80.14477676016025,2619,107,69.02783621749654,53.85978612018019,234,Summer,12,123.96998485499523,115.91596790017974,45,72,1,50.854551241015116
Ambattur,12.92305771264546,80.11801108805645,2999,125,83.06006365723199,147.26138772908183,130,Winter,6,435.98742863031146,142.70930561159702,30,55,8,24.209927939546112
T. Nagar,13.141175719371276,80.15665460703369,3825,72,41.84978356955792,54.998851397987,491,Summer,5,389.3464182058231,71.86806289497162,46,54,4,39.59038628190697
Thoraipakkam,12.959208885163383,80.16820416495338,3544,121,85.75679093559955,75.01977880340664,260,Summer,16,277.6924146628773,192.28505302427888,16,59,3,59.77097347591187
Teynampet,12.923158135465084,80.18546085168285,3097,68,87.71187951272645,138.29201432449608,145,Summer,7,187.99332804235115,117.98599293174671,52,92,6,29.354842974247063
Medavakkam,13.159763154886608,80.28323784335403,3186,112,43.782760287260686,118.19061177208995,89,Winter,12,346.40919915372945,124.4262226590236,18,75,9,43.20078012979182
Ambattur,12.943446938795079,80.20270376353557,3710,127,56.33861054836646,66.44192068090211,217,Rainy,14,488.49365199456247,64.12013857168219,33,75,1,36.67135331050744
Villivakkam,12.945379943805168,80.12723325834983,4098,122,58.73695153675146,142.5580656095314,126,Rainy,14,311.1097248249815,119.89474690463732,27,50,8,52.02917774387928
Anna Nagar,13.121385655548046,80.19795630804542,2067,126,42.29487232066555,122.07522265745796,490,Winter,7,163.6366943518911,147.483066083034,40,78,9,44.37658983723629
T. Nagar,12.880869754098155,80.20271411358095,3987,129,50.153456438414835,112.54965136867344,406,Summer,14,498.50013025987795,180.68643014202556,38,65,6,27.332266706247168
Sholinganallur,13.171744996420717,80.16239891683608,4849,119,42.85765919706109,106.87128031780657,382,Winter,9,279.1525438973906,143.8895438515151,56,83,1,40.59139337341538
Anna Nagar,13.153826274752753,80.21926744482094,4941,130,84.32968743295825,135.72056573854985,482,Rainy,9,379.91748225191486,164.55391603178958,42,51,8,24.824474078021318
Kolathur,12.942823653003396,80.16136098534803,4839,65,63.67385756217425,129.1039405268346,399,Rainy,9,196.06099564990836,196.62855944741705,40,74,2,33.50680152721999
VIT Chennai,12.928718426453386,80.1564226454177,2403,74,80.25433747028063,117.30421767258167,291,Rainy,7,176.18167942442003,199.91371668786084,21,51,7,21.75216205743926
Velachery,12.850802232386823,80.27482432236512,1932,86,90.16614576335463,96.07057560544868,285,Summer,5,440.6528075920312,162.37174228956457,24,54,9,52.05830895977465
Adyar,13.131128287419775,80.18132728146676,3192,109,92.82698002214099,93.57075736552605,93,Winter,6,303.2068355192948,61.353619460584895,50,65,5,40.52571628359485
Pallikaranai,12.914112413357499,80.20184160200061,4347,118,32.20995003292825,82.73214861671833,485,Winter,11,180.75011697626016,119.42634460625119,43,92,9,37.80612222839565
Thiruvanmiyur,13.112783926116242,80.22345816117067,2806,105,68.95307808431534,122.03838917842563,317,Rainy,17,197.55751196519378,78.80697409413207,25,92,3,27.58653438448526
Adyar,12.909498579776216,80.22356061441928,3565,66,97.09432745523809,124.76952386079793,263,Summer,9,264.52424440288786,170.4262670064942,46,70,6,41.15021922007147
Pallikaranai,13.003252319818376,80.22311989029966,3575,149,88.7077680564093,136.76233868821527,244,Summer,5,283.67443745986094,95.05639360157699,42,77,2,43.91475137081608
Thoraipakkam,13.146577111835583,80.25323763882523,1428,77,90.99596221848407,60.5668787386292,382,Rainy,15,379.60955460503345,119.27216965993244,45,59,6,35.81974527019868
Triplicane,13.149065557970253,80.15670822142782,4815,117,55.54215392078251,62.85640409013328,463,Summer,19,464.90145647883884,173.63627132917514,15,75,6,30.47438903663383
Villivakkam,13.158254316347499,80.2587737513603,1743,143,79.55531923330258,63.64454320810377,193,Rainy,8,233.49578545603583,92.37949531130276,24,70,6,40.49112469551585
Sholinganallur,12.947469116547612,80.20829055054254,1634,122,63.69359235747391,54.119933454731125,171,Rainy,15,423.7947746602676,123.73839189401188,23,55,8,55.73500130972073
Thiruvanmiyur,13.148572849881658,80.27828511054801,3970,106,71.96169167692184,75.5207168973696,490,Summer,12,307.28944173892273,137.63115903880706,53,70,6,47.7216238702858
Saidapet,13.03630021705676,80.28731028073803,3147,134,78.67827160100128,60.486205773946246,445,Rainy,16,180.07377354305802,92.45742228756939,46,78,8,42.51826863486588
Velachery,13.108025246436679,80.11360498198773,4047,103,73.47928407682213,86.68448329152889,224,Winter,18,195.1173196453907,108.31787404027013,26,76,7,30.57260646184818
Purasaiwakkam,12.934095322646051,80.18431583441742,3408,131,78.52989276436263,106.50087250039061,282,Winter,13,286.7992908875621,162.49093336649463,58,77,3,56.6608286121412
Purasaiwakkam,12.853679558504558,80.27600201025857,3945,85,69.58324224354249,68.9671356254264,70,Rainy,5,158.86624212113537,77.31968458204099,40,83,7,28.34611090947121
Pallikaranai,13.051602642828053,80.19213902684504,2860,110,61.80630038206911,81.37156073671134,191,Winter,18,226.76446480369302,113.64277941209693,39,75,6,48.190277836413784
